"Pop_Old","Population","sampleID"
"WAZ","Hudson Strait","AC_6551"
"WAZ","Hudson Strait","AC_6557"
"WAZ","Hudson Strait","AC_6552"
"SFA4","Labrador","AC_6517"
"WAZ","Hudson Strait","AC_6555"
"WAZ","Hudson Strait","AC_6560"
"WAZ","Hudson Strait","AC_6569"
"WAZ","Hudson Strait","AC_6561"
"WAZ","Hudson Strait","AC_6570"
"WAZ","Hudson Strait","AC_6568"
"WAZ","Hudson Strait","AC_6587"
"EAZ","Southeast Baffin","AC_6589"
"WAZ","Hudson Strait","AC_6585"
"EAZ","Southeast Baffin","AC_6590"
"EAZ","Southeast Baffin","AC_6588"
"EAZ","Southeast Baffin","AC_6591"
"EAZ","Southeast Baffin","AC_6607"
"EAZ","Southeast Baffin","AC_6606"
"EAZ","Southeast Baffin","AC_6611"
"Chukchi Sea","Chukchi Sea","AC_1096"
"Chukchi Sea","Chukchi Sea","AC_1093"
"Chukchi Sea","Chukchi Sea","AC_1095"
"Chukchi Sea","Chukchi Sea","AC_1092"
"Chukchi Sea","Chukchi Sea","AC_1091"
"Chukchi Sea","Chukchi Sea","AC_1094"
"Chukchi Sea","Chukchi Sea","AC_1087"
"Chukchi Sea","Chukchi Sea","AC_1090"
"Chukchi Sea","Chukchi Sea","AC_1085"
"Chukchi Sea","Chukchi Sea","AC_1088"
"Chukchi Sea","Chukchi Sea","AC_1086"
"Chukchi Sea","Chukchi Sea","AC_1089"
"Chukchi Sea","Chukchi Sea","AC_1083"
"Chukchi Sea","Chukchi Sea","AC_1082"
"Chukchi Sea","Chukchi Sea","AC_1084"
"Chukchi Sea","Chukchi Sea","AC_1074"
"Chukchi Sea","Chukchi Sea","AC_1068"
"Chukchi Sea","Chukchi Sea","AC_1047"
"Chukchi Sea","Chukchi Sea","AC_1048"
"Chukchi Sea","Chukchi Sea","AC_1061"
"Chukchi Sea","Chukchi Sea","AC_1049"
"Chukchi Sea","Chukchi Sea","AC_1062"
"Chukchi Sea","Chukchi Sea","AC_1043"
"Chukchi Sea","Chukchi Sea","AC_1041"
"Chukchi Sea","Chukchi Sea","AC_1044"
"Chukchi Sea","Chukchi Sea","AC_1040"
"Chukchi Sea","Chukchi Sea","AC_1038"
"Chukchi Sea","Chukchi Sea","AC_1037"
"Chukchi Sea","Chukchi Sea","AC_1039"
"Chukchi Sea","Chukchi Sea","AC_1034"
"Chukchi Sea","Chukchi Sea","AC_1025"
"Chukchi Sea","Chukchi Sea","AC_1035"
"Chukchi Sea","Chukchi Sea","AC_1033"
"Chukchi Sea","Chukchi Sea","AC_1026"
"Chukchi Sea","Chukchi Sea","AC_1017"
"Chukchi Sea","Chukchi Sea","AC_1008"
"Pond Inlet","Pond Inlet","AC_460"
"SFA4","Labrador","AC_6529"
"SFA4","Labrador","AC_6525"
"SFA4","Labrador","AC_6509"
"SFA4","Labrador","AC_6510"
"SFA4","Labrador","AC_6520"
"WAZ","Hudson Strait","AC_6544"
"WAZ","Hudson Strait","AC_6582"
"WAZ","Hudson Strait","AC_6554"
"WAZ","Hudson Strait","AC_6573"
"EAZ","Southeast Baffin","AC_6602"
"EAZ","Southeast Baffin","AC_6614"
"Iceland","Iceland","Ice_cod_test_5"
"Iceland","Iceland","Ice_cod_test"
"Iceland","Iceland","Ice_cod_test_3"
"Iceland","Iceland","Ice_cod_test_6"
"Iceland","Iceland","Ice_cod_test_7"
"Iceland","Iceland","Ice_cod_test_8"
"Iceland","Iceland","Ice_cod_test_9"
"Iceland","Iceland","Ice_cod_test_10"
"Iceland","Iceland","Ice_cod_test_11"
"Iceland","Iceland","Ice_cod_test_12"
